text-3 href,text-3,story__link,story__link href,story__excerpt,timestamp--label,timestamp--time
https://www.dawn.com/pakistan,Pakistan,"Episode between Khawaja Izhar, Rao Anwar inappropriate, says PSP's Raza Haroon",https://www.dawn.com/news/1284414/episode-between-khawaja-izhar-rao-anwar-inappropriate-says-psps-raza-haroon,"PSP leader urged Chief Minister Sindh Syed Murad Ali Shah to hear the perspective of the suspended SSP Rao Anwar
.",Published,"17 Sep, 2016 11:18pm"
https://www.dawn.com/pakistan,Pakistan,Pakistan Navy launches third Azmat-class fast attack craft,https://www.dawn.com/news/1284347/pakistan-navy-launches-third-azmat-class-fast-attack-craft,The addition of the Fast Attack Craft-Missile will improve the operational capability of the Pakistan Navy.,Published,"17 Sep, 2016 10:08pm"
https://www.dawn.com/world,World,Brazil's big party is over — now the hangover?,https://www.dawn.com/news/1284344/brazils-big-party-is-over-now-the-hangover,"“Rio is a success story and when we don't get a national investor, we get an international partner”",Published,"17 Sep, 2016 10:00pm"
https://www.dawn.com/pakistan,Pakistan,Quetta shuts down to mourn the Civil Hospital victims,https://www.dawn.com/news/1284345/quetta-shuts-down-to-mourn-the-civil-hospital-victims,"Strike call given by ANP was backed by BNP-Mengal, BNP-Awami and JUI-Ideological.",Published,"17 Sep, 2016 08:02pm"
https://www.dawn.com/pakistan,Pakistan,'Indian attempts to deny illegal occupation of Kashmir is a travesty of history',https://www.dawn.com/news/1284346/indian-attempts-to-deny-illegal-occupation-of-kashmir-is-a-travesty-of-history,Pakistani delegation slammed India's interference in Balochistan and termed it as an attempt to divert attention.,Updated,"18 Sep, 2016 11:17am"
https://www.dawn.com/sport,Sport,Asad Shafiq credits coach Arthur for England success,https://www.dawn.com/news/1284343/asad-shafiq-credits-coach-arthur-for-england-success,"“Mickey really lifted my morale and now I’m looking forward to perform well against the West Indies,” says Asad.",Published,"17 Sep, 2016 05:09pm"
https://www.dawn.com/sport,Sport,Davis Cup: New Zealand take unassailable 3-0 lead over Pakistan,https://www.dawn.com/news/1284342/davis-cup-new-zealand-take-unassailable-3-0-lead-over-pakistan,Pakistan produced some resistance but never seriously threatened the New Zealanders.,Published,"17 Sep, 2016 03:59pm"
https://www.dawn.com/world,World,Guantanamo prisoner says Saudi 'royal' involved in terrorism,https://www.dawn.com/news/1284336/guantanamo-prisoner-says-saudi-royal-involved-in-terrorism,Transcript alleges unnamed member of Saudi royal family was part of an effort to recruit an Al Qaeda bombmaker.,Published,"17 Sep, 2016 02:53pm"
https://www.dawn.com/world,World,First mercy killing of minor in Belgium,https://www.dawn.com/news/1284340/first-mercy-killing-of-minor-in-belgium,"It was an exceptional case of a child with a terminal illness, says official.",Published,"17 Sep, 2016 02:25pm"
https://www.dawn.com/world,World,Here is why a trip to Tehran will leave you in wonder,https://www.dawn.com/news/1284295/here-is-why-a-trip-to-tehran-will-leave-you-in-wonder,I have travelled to many places but there is nothing like the Iranian capital.,Updated,"04 Dec, 2019 03:54pm"
https://www.dawn.com/pakistan,Pakistan,Curfew in Mohmand as suicide attack death toll rises to 30,https://www.dawn.com/news/1284337/curfew-in-mohmand-as-suicide-attack-death-toll-rises-to-30,Security forces launched a search operation in the area following a suicide bombing in a mosque.,Published,"17 Sep, 2016 01:35pm"
https://www.dawn.com/pakistan,Pakistan,Rights group urges Pakistan not to hang mentally ill man,https://www.dawn.com/news/1284333/rights-group-urges-pakistan-not-to-hang-mentally-ill-man,"Pakistan must not hang man who is suffering from paranoid schizophrenia, says Justice Project Pakistan.",Published,"17 Sep, 2016 11:06am"
https://www.dawn.com/pakistan,Pakistan,Pakistan and US: the odd couple,https://www.dawn.com/news/1284153/the-odd-couple,Pakistan’s ties with the US show no signs of improvement.,Published,"17 Sep, 2016 09:55am"
https://www.dawn.com/world,World,"Pressure on Pakistan, India to ratify nuclear test ban treaty",https://www.dawn.com/news/1284286,US working with UN Security Council on resolution that can slow down a nuclear race between Pakistan and India.,Published,"17 Sep, 2016 07:34am"
https://www.dawn.com/pakistan,Pakistan,Electronic media turns a blind eye to Mohmand mosque attack,https://www.dawn.com/news/1284267/electronic-media-turns-a-blind-eye-to-mohmand-mosque-attack,Rights activists raise Fata issues on social media.,Updated,"17 Sep, 2016 09:51am"
https://www.dawn.com/pakistan,Pakistan,"‘If Sri Lanka can eradicate malaria, so can Pakistan’",https://www.dawn.com/news/1284289/if-sri-lanka-can-eradicate-malaria-so-can-pakistan,"Bad planning, lack of political will cause the virus to spread, says PMA.",Updated,"17 Sep, 2016 09:51am"
https://www.dawn.com/pakistan,Pakistan,SC orders analysis of all brands of packed milk,https://www.dawn.com/news/1284252/sc-orders-analysis-of-all-brands-of-packed-milk,Justice Mian Saqib Nisar instructs analysis of milk samples as the matter concerns the lives of the citizens.,Updated,"17 Sep, 2016 09:29am"
https://www.dawn.com/pakistan,Pakistan,"CM Sindh approves Rs2.2bn for police training, weapons",https://www.dawn.com/news/1284196/cm-sindh-approves-rs22bn-for-police-training-weapons,Weapons and special training of police to be given by trained professionals of the Pakistan Army and other countries.,Updated,"17 Sep, 2016 10:27am"
https://www.dawn.com/world,World,EU struggles to deal with multiple ‘first world problems’,https://www.dawn.com/news/1284132/eu-struggles-to-deal-with-multiple-first-world-problems,European leaders paint a pessimistic picture of EU's future focusing on its 'existential crisis'.,Updated,"17 Sep, 2016 11:17am"
https://www.dawn.com/world,World,China eyes year-long stays for space station astronauts,https://www.dawn.com/news/1284218/china-eyes-year-long-stays-for-space-station-astronauts,Construction on a space station will start in as early as 2017.,Updated,"17 Sep, 2016 11:29am"
https://www.dawn.com/world,World,Five get jail terms in France over ‘burkini’ clashes,https://www.dawn.com/news/1284219/five-get-jail-terms-in-france-over-burkini-clashes,The violence last month in Sisco left five people injured.,Updated,"17 Sep, 2016 11:31am"
https://www.dawn.com/world,World,"EU in ‘critical situation’ after Brexit, says Merkel",https://www.dawn.com/news/1284224/eu-in-critical-situation-after-brexit-says-merkel,"27 European leaders convened to discuss EU's future and a ""roadmap"" of necessary reforms.",Updated,"17 Sep, 2016 11:34am"
